RegionID,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
84868,91100,9.20E+04,90500,85900,85500,9.20E+04,97400,93100,91300,87800,89300,89800,92200,90800,90300,89500,91200,89800,92700,93700,95100,9.40E+04,86800,7.80E+04,78500,85900,94400,94300,94500,97800,97500,101500,94400,93100,88600,93600,91300,91800,81900,85700,8.20E+04,94500,96600,98100,92900,8.70E+04,8.10E+04,80900,77200,82200,76700,86500,86300,9.10E+04,86200,87400,85300,91600,92200,9.30E+04,87800,8.50E+04,83700,82900,81700,95300,96100,99400,9.40E+04,90200,93900,85700,95700,96400,95800,90500,87900,92700,92300,92700,88900,92600,97900,103100,98400,87700,90100,94100,104300,96700,92600,87800,96800,101400,93700,88500,89100,96700,99800,98900,95800,95400,93500,95300,86300,92800,88500,81900,72600,76300,89800,91100,9.30E+04,92400,100900,100100,101800,93200,91900,99900,103100,110200,104400,107600,106700,108600,112200,117800,119400,119800,109300,103500,94300,99300,100900,104100,
67114,440300,426200,379400,351400,333800,328300,333200,333500,332100,319600,303400,294300,301700,321400,323500,326700,332100,3.53E+05,375200,3.58E+05,374200,368600,388400,3.63E+05,357400,363900,365900,349900,331500,338900,375500,381200,374300,363700,350500,342100,336100,368300,393500,397300,394500,377600,390600,390300,419900,402200,392300,370600,389300,400300,406900,392100,397300,409200,429200,444900,456600,4.39E+05,391700,3.83E+05,396700,436500,439400,449300,444500,446200,447800,489700,476900,479400,4.45E+05,456600,437900,435600,439400,4.57E+05,470700,471800,468700,454800,452100,450400,461800,465600,485300,481800,4.86E+05,455100,454900,451300,4.65E+05,476900,474600,4.82E+05,493500,503100,494500,4.91E+05,4.81E+05,481900,4.48E+05,445100,445700,452900,460500,459300,461300,445900,452600,477600,484300,4.88E+05,475600,475900,486300,514100,540200,532500,494300,476900,490500,494500,492900,482200,489600,510700,502600,532200,574400,584400,562500,502900,500500,524600,543500,540600,
94948,2.17E+05,217500,200600,189900,175800,169400,164300,160700,156700,164600,152700,145600,136900,134500,133200,122500,127800,127300,129100,130300,133800,1.40E+05,136500,138300,138800,145900,142200,142600,135300,131700,121600,1.18E+05,117500,116400,1.18E+05,123300,132300,138200,136300,130400,121500,119400,122300,127800,130200,132100,131200,131100,137900,138200,140500,138700,143100,144400,140500,141700,1.45E+05,150400,151100,148800,149300,153400,154100,155500,1.57E+05,160100,163100,164200,163300,162700,164400,164700,168700,170700,172800,165800,165600,164600,165200,162800,1.64E+05,170100,173500,178700,178800,177400,1.74E+05,175900,176500,178700,179600,1.82E+05,186700,192400,196700,194900,190600,185700,185500,186600,189700,191200,190600,193400,192800,1.95E+05,192600,192900,192600,195400,2.00E+05,203400,205100,205100,201400,203900,208400,214200,214400,214500,217600,220500,221800,221400,224100,226200,223800,224500,229500,237800,234900,231700,227800,2.30E+05,231200,230800,230700
61934,221300,229600,233400,225300,215300,2.04E+05,197700,192500,186500,180200,186200,189100,196700,186400,198300,189800,195200,184100,178700,1.68E+05,170800,184900,204200,200400,190200,181200,185100,186400,186900,1.86E+05,174800,1.74E+05,171600,185700,190500,187400,177200,185600,176100,193700,169800,184100,167100,167500,153300,152300,164400,168800,174400,152600,166100,161700,174100,153500,142400,134100,141700,154500,158600,162500,162600,152200,147200,150100,162300,157200,151100,146100,1.51E+05,150800,141200,136200,142200,148500,1.45E+05,130200,142300,147500,147800,141200,140200,144900,146800,150500,149700,149900,1.49E+05,152100,148200,149300,150600,150200,149900,141500,1.44E+05,145100,145200,141600,138100,140300,141900,141400,143200,150200,148700,146300,134900,136700,143100,157400,168100,165600,161100,156700,153600,1.54E+05,1.55E+05,166100,171700,169200,170100,168100,175700,176500,180100,177100,179900,176800,181800,186200,1.90E+05,192700,190600,191700,194900,201700,
69385,170600,164200,156800,153400,157200,156400,171600,169200,161200,155300,166900,184100,180600,166200,158500,154400,164200,165200,172700,170100,172200,168900,188600,190300,193300,1.74E+05,164500,165900,171700,177700,178300,174200,159400,154900,148600,169500,165100,178200,1.75E+05,181400,174200,171500,167800,170300,184100,191100,1.92E+05,1.78E+05,158300,155900,161300,182500,179700,167500,164800,164600,170600,165600,165400,160600,155500,158300,164900,176100,183800,184700,1.84E+05,179300,186200,183600,180200,1.79E+05,188500,191700,187100,179100,177800,176500,175800,171900,174100,178500,1.90E+05,1.90E+05,189200,186900,194300,199600,198200,202200,202400,210900,206500,213600,211300,210600,200900,203600,208800,222300,226200,227500,230300,222700,224300,222600,229700,235500,236600,234800,227500,223500,223100,228700,231200,246800,233800,232100,222800,245700,257300,2.58E+05,255800,2.46E+05,252100,247100,251300,251900,2.53E+05,256500,2.63E+05,270700,2.72E+05,2.62E+05,262100,261800,2.63E+05
69456,152900,151900,150600,1.47E+05,148600,154600,159300,158900,1.54E+05,143500,151700,158600,164100,152700,146200,148600,149200,157900,156400,156800,148200,150900,148300,149900,147700,1.53E+05,153100,151500,141700,134300,134700,143500,143100,132100,124300,135200,145200,139100,133200,126900,140100,139500,143500,141200,140900,145800,148700,149600,140600,140800,133400,139600,136700,139500,139700,1.34E+05,128800,127800,133600,143500,146500,148800,149500,151300,146300,140900,140100,148500,148200,144100,135200,138800,137100,137200,139600,144400,142300,141200,144600,148900,152900,155600,152700,154500,154300,161500,165400,164700,167500,168700,167600,168800,165600,169700,169100,173800,176400,177600,176600,176500,180900,186600,186400,185800,182900,1.83E+05,183300,180200,1.82E+05,180700,178600,176600,184700,188700,189500,193500,198900,200800,1.98E+05,197400,199200,198800,197700,198900,198500,2.05E+05,212500,218100,2.16E+05,214100,211900,219700,220500,223300,222300,217800,216400
93210,232500,222600,229400,228600,234400,239400,236500,230400,223600,215100,213900,209100,218300,218400,218400,215800,222700,229300,232900,229500,225400,2.30E+05,2.35E+05,249500,2.39E+05,228500,214300,221400,221400,238100,239800,256100,237700,226200,207800,215200,217700,2.25E+05,217400,221900,221600,228300,2.26E+05,237800,2.33E+05,234700,218200,2.13E+05,215800,222300,2.30E+05,229500,227400,226600,223500,232200,233200,233900,232800,237500,242700,237600,236400,237900,242900,2.47E+05,250200,257500,255700,252900,245400,249400,252400,258600,261900,265800,2.72E+05,271100,272900,274200,279600,278300,285400,2.81E+05,284900,280100,290200,293800,290300,293600,298100,303700,309900,313600,319600,3.17E+05,318700,320800,327100,334300,343400,343300,344500,338900,344800,350200,353700,359200,360600,369600,364200,363900,356900,362500,359400,365200,363100,373800,379300,387700,390200,390700,391600,387900,389700,386700,390800,401100,4.11E+05,405100,404200,406100,425400,418200,418400,402400,402500
73596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171900,172100,189400,181100,178200,1.67E+05,161800,159900,158300,159900,173300,173400,173900,1.64E+05,160500,161200,170800,171400,167700,165500,166700,168600,167400,162600,171300,167100,165700,1.61E+05,177700,2.04E+05,213500,199900,183100,171700,170900,167600,190100,199200,2.05E+05,186800,1.75E+05,1.69E+05,169300,175800,179900,189600,185400,192900,184600,188700,183400,1.88E+05,190700,186100,182500,180900,185300,189200,185100,188900,185800,192800,198600,194700,197400,205700,2.23E+05,2.27E+05,208700,205800,204500,206700,205800,208800,216400,202100,2.11E+05,206600,235200,234400,241500
71230,156400,1.50E+05,143300,138800,142500,1.53E+05,139800,1.40E+05,131200,141500,150200,154600,152700,155800,158300,158300,146100,147900,158600,173800,183900,1.73E+05,1.50E+05,138900,148300,168800,155900,1.56E+05,154500,164200,136900,126900,108700,135800,136100,145300,135700,126300,128100,122400,132600,140900,138200,131600,1.22E+05,127700,132200,1.24E+05,120300,112500,116400,118800,1.28E+05,138800,142300,141100,131400,126900,126500,1.31E+05,1.36E+05,137900,147300,152400,162500,155300,143200,119500,119700,134300,150400,151200,144900,139300,138900,147700,149700,149500,140900,148200,162700,163600,151700,137800,139900,149600,150600,150700,154500,156500,162500,161700,1.65E+05,164800,170800,173900,181200,173400,175100,167500,1.72E+05,168300,171100,1.66E+05,165800,160400,170500,175200,187200,193800,192500,180500,172100,180200,189900,194400,197300,201400,197900,210800,205200,213600,192600,197200,207100,218500,221800,218100,226600,228100,210700,205100,211300,209400,263500,262500,
77024,152500,153100,137800,137500,130500,131500,132200,130700,127400,123100,131200,135600,134300,136500,1.31E+05,130800,121800,125700,129400,132400,130800,132900,132400,134500,132800,129200,1.26E+05,125200,1.29E+05,125100,132400,131500,132900,116200,111600,125500,121500,119900,105300,116700,114500,119800,125100,127700,127300,1.15E+05,118100,117900,118700,120700,112700,119600,115800,127200,119500,127800,120800,117400,106800,104200,114700,110600,113300,108400,118300,118900,124300,123300,124400,111500,108900,100300,112200,114800,126200,132800,133200,133800,131300,129300,1.24E+05,119200,111300,107600,99100,104500,111900,119400,126100,127300,127600,1.27E+05,127200,133900,129300,130200,128800,134700,131300,126800,119900,120500,120700,1.24E+05,126300,127100,133600,1.36E+05,136700,134400,131800,135500,130600,128700,125500,127500,131200,131500,140100,139800,137600,132700,131700,137200,134600,137100,139700,139900,141600,139400,141100,147800,148400,158600,151400,149400,143400
